UID,iso2,iso3,code3,Province_State,Country_Region,Lat,Long,Combined_Key,Population
5601,BE,BEL,56,Antwerp,Belgium,51.2195,4.4024,"Antwerp, Belgium",1869730
5602,BE,BEL,56,Brussels,Belgium,50.8503,4.3517,"Brussels, Belgium",1218255
5603,BE,BEL,56,East Flanders,Belgium,51.0362,3.7373,"East Flanders, Belgium",1525255
5604,BE,BEL,56,Flemish Brabant,Belgium,50.9167,4.5833,"Flemish Brabant, Belgium",1155843
5605,BE,BEL,56,Hainaut,Belgium,50.5257,4.0621,"Hainaut, Belgium",1346840
5606,BE,BEL,56,Liege,Belgium,50.4496,5.8492,"Liege, Belgium",1109800
5607,BE,BEL,56,Limburg,Belgium,50.9739,5.342,"Limburg, Belgium",877370
5608,BE,BEL,56,Luxembourg,Belgium,50.0547,5.4677,"Luxembourg, Belgium",286752
5609,BE,BEL,56,Namur,Belgium,50.331,4.8221,"Namur, Belgium",495832
5611,BE,BEL,56,Walloon Brabant,Belgium,50.4,4.35,"Walloon Brabant, Belgium",406019
5612,BE,BEL,56,West Flanders,Belgium,51.0536,3.1458,"West Flanders, Belgium",1200945
7601,BR,BRA,76,Acre,Brazil,-9.0238,-70.812,"Acre, Brazil",881935
7602,BR,BRA,76,Alagoas,Brazil,-9.5713,-36.782,"Alagoas, Brazil",3337357
7603,BR,BRA,76,Amapa,Brazil,0.902,-52.003,"Amapa, Brazil",845731
7604,BR,BRA,76,Amazonas,Brazil,-3.4168,-65.8561,"Amazonas, Brazil",4144597
7605,BR,BRA,76,Bahia,Brazil,-12.5797,-41.7007,"Bahia, Brazil",14873064
7606,BR,BRA,76,Ceara,Brazil,-5.4984,-39.3206,"Ceara, Brazil",9132078
7607,BR,BRA,76,Distrito Federal,Brazil,-15.7998,-47.8645,"Distrito Federal, Brazil",3015268
7608,BR,BRA,76,Espirito Santo,Brazil,-19.1834,-40.3089,"Espirito Santo, Brazil",4018650
7609,BR,BRA,76,Goias,Brazil,-15.827,-49.8362,"Goias, Brazil",7018354
7610,BR,BRA,76,Maranhao,Brazil,-4.9609,-45.2744,"Maranhao, Brazil",7075181
7611,BR,BRA,76,Mato Grosso,Brazil,-12.6819,-56.9211,"Mato Grosso, Brazil",3484466
